Horodateur,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?,Which error is the worst ?
08/01/2024 17:22:41,Error 2,Error 2,Error 2,Error 1,Error 1,Error 1,Error 2,Error 1,Error 2,Error 2,Error 2,Error 1,Error 2,Error 1,Error 1,Error 1,Error 1,Equally bad,Error 1,Error 1,Error 1,Error 2,Error 2,Equally bad
08/01/2024 18:07:25,Error 2,Error 2,Equally bad,Equally bad,Error 1,Error 1,Equally bad,Error 1,Equally bad,Error 1,Equally bad,Equally bad,Equally bad,Equally bad,Error 1,Equally bad,Error 1,Error 1,Error 1,Error 1,Error 1,Error 2,Error 2,Equally bad
09/01/2024 14:09:43,Error 2,Error 1,Error 2,Equally bad,Error 1,Error 1,Error 1,Error 1,Error 2,Error 1,Error 2,Error 2,Error 2,Error 2,Error 1,Error 2,Error 2,Error 1,Error 2,Error 2,Error 1,Error 1,Error 2,Error 2
09/01/2024 14:20:24,Equally bad,Error 2,Error 2,Equally bad,Error 1,Error 1,Error 1,Error 1,Error 2,Error 2,Equally bad,Error 2,Error 1,Equally bad,Error 1,Equally bad,Error 1,Error 2,Error 2,Error 1,Equally bad,Error 2,Error 2,Equally bad
09/01/2024 15:15:59,Error 2,Error 2,Error 1,Equally bad,Error 1,Error 1,Error 2,Error 1,Error 1,Error 1,Equally bad,Error 2,Error 1,Error 2,Error 1,Equally bad,Error 2,Error 1,Error 1,Error 1,Equally bad,Error 2,Error 2,Error 2
09/01/2024 15:37:44,Error 2,Equally bad,Error 1,Equally bad,Error 1,Error 1,Error 2,Error 1,Error 1,Error 2,Equally bad,Equally bad,Error 2,Error 2,Error 1,Error 1,Equally bad,Equally bad,Error 2,Error 1,Error 1,Error 2,Error 2,Error 2
09/01/2024 16:59:25,Error 2,Error 2,Error 2,Error 1,Error 1,Error 1,Error 2,Error 1,Error 1,Error 1,Error 2,Error 2,Error 2,Error 2,Error 1,Error 1,Error 1,Error 1,Equally bad,Error 1,Error 1,Error 2,Error 2,Error 2
09/01/2024 17:58:49,Error 2,Error 2,Error 1,Equally bad,Error 1,Error 1,Error 2,Error 1,Error 1,Error 1,Equally bad,Equally bad,Error 1,Error 2,Error 1,Error 2,Error 1,Error 1,Error 2,Error 1,Error 1,Error 2,Error 2,Error 2
09/01/2024 18:20:41,Error 2,Equally bad,Error 1,Error 1,Error 1,Error 1,Equally bad,Error 1,Error 1,Error 1,Equally bad,Equally bad,Error 2,Error 2,Error 1,Error 1,Error 1,Error 1,Error 1,Error 1,Error 1,Error 2,Error 2,Error 2
09/01/2024 19:12:36,Error 1,Error 2,Equally bad,Error 1,Error 1,Error 2,Error 2,Error 2,Error 1,Error 1,Error 1,Error 2,Equally bad,Equally bad,Error 1,Error 2,Error 1,Equally bad,Error 1,Equally bad,Equally bad,Equally bad,Error 2,Error 2
12/01/2024 19:09:29,Error 2,Error 1,Error 2,Error 1,Error 1,Equally bad,Error 1,Error 1,Error 1,Error 1,Equally bad,Error 2,Error 2,Error 2,Error 1,Error 1,Error 2,Equally bad,Error 1,Equally bad,Error 1,Equally bad,Error 2,Error 1
13/01/2024 16:30:01,Error 2,Error 1,Error 2,Equally bad,Error 1,Error 1,Error 1,Error 1,Error 2,Error 1,Equally bad,Error 2,Error 1,Error 1,Error 1,Error 1,Error 2,Error 1,Error 1,Equally bad,Error 1,Error 2,Error 2,Error 1
19/01/2024 09:57:07,Equally bad,Error 2,Error 2,Equally bad,Error 1,Error 1,Error 2,Error 1,Error 2,Error 2,Equally bad,Error 2,Error 1,Error 1,Error 1,Equally bad,Error 1,Error 2,Equally bad,Error 1,Equally bad,Equally bad,Error 2,Equally bad
20/01/2024 12:33:22,Error 2,Error 2,Error 2,Error 1,Error 1,Error 1,Error 2,Error 1,Error 2,Error 1,Error 2,Error 2,Error 1,Error 1,Error 1,Equally bad,Equally bad,Error 1,Equally bad,Equally bad,Error 1,Error 2,Error 2,Error 2
20/01/2024 16:21:24,Error 2,Error 2,Error 2,Equally bad,Error 1,Error 1,Error 2,Error 1,Error 2,Error 2,Equally bad,Error 2,Error 1,Error 1,Equally bad,Equally bad,Error 1,Error 1,Error 2,Error 1,Error 1,Error 2,Error 2,Error 1